"DX Entity","Location","HASC","Reference","Park Name","First QSO Date","Attempts","Activations","QSOs"
"United States of America","Alabama","US-AL","US-1048","Monte Sano State Park","2026-08-20",1,1,12
"United States of America","Connecticut","US-CT","US-1708","Quaddick State Park","2026-07-08",1,1,12
"United States of America","Delaware","US-DE","US-1732","Brandywine Creek State Park","2026-06-26",1,1,14
"United States of America","Florida","US-FL","US-1842","Blue Spring State Park","2026-05-18",1,1,11
"United States of America","Florida","US-FL","US-1848","Colt Creek State Park","2025-09-19",2,2,24
"United States of America","Florida","US-FL","US-1850","Crystal River Archaeological State Park","2026-04-17",1,1,12
"United States of America","Florida","US-FL","US-1853","De Leon Springs State Park","2026-05-18",1,1,13
"United States of America","Florida","US-FL","US-1870","Fort Cooper State Park","2025-11-07",1,1,29
"United States of America","Florida","US-FL","US-1878","Hillsborough River State Park","2025-11-21",2,2,40
"United States of America","Florida","US-FL","US-1879","Homosassa Springs Wildlife State Park","2025-04-05",2,2,29
"United States of America","Florida","US-FL","US-1880","Honeymoon Island State Park","2025-02-01",2,2,48
"United States of America","Florida","US-FL","US-1893","Lake Louisa State Park","2026-04-24",1,1,13
"United States of America","Florida","US-FL","US-1898","Little Manatee River State Park","2026-05-08",1,1,12
"United States of America","Florida","US-FL","US-1904","Myakka River State Park","2026-06-19",1,1,21
"United States of America","Florida","US-FL","US-1912","Rainbow Springs State Park","2026-02-27",1,1,13
"United States of America","Florida","US-FL","US-1916","Skyway Fishing Pier State Park","2025-10-24",2,2,29
"United States of America","Florida","US-FL","US-1917","St. Andrews State Park","2026-08-18",1,1,15
"United States of America","Florida","US-FL","US-1927","Wekiwa Springs State Park","2026-03-13",1,1,23
"United States of America","Florida","US-FL","US-1928","Werner-Boyce Salt Springs State Park","2025-07-05",83,82,1516
"United States of America","Florida","US-FL","US-3614","Crystal River Preserve State Park","2026-04-17",1,1,12
"United States of America","Florida","US-FL","US-3615","Dade Battlefield State Park","2025-10-10",2,2,29
"United States of America","Florida","US-FL","US-3621","Fort Foster State Historic Site","2025-11-21",2,2,40
"United States of America","Florida","US-FL","US-6296","Chassahowitzka Wildlife Management Area","2025-11-14",1,1,16
"United States of America","Florida","US-FL","US-7475","Starkey Wilderness/Serenova Preserve State Conservation Area","2025-09-01",2,2,143
"United States of America","Georgia","US-GA","US-2175","Fort McAllister State Park","2026-06-24",1,1,22
"United States of America","Georgia","US-GA","US-7465","Flat Creek State Fishing Lake","2026-07-16",1,1,10
"United States of America","Maine","US-ME","US-2413","Vaughan Woods State Park","2026-07-01",1,1,15
"United States of America","Maryland","US-MD","US-1570","Fort Frederick State Park","2026-07-14",1,1,15
"United States of America","Massachusetts","US-MA","US-0745","Minute Man National Historical Park","2026-06-29",2,2,54
"United States of America","Massachusetts","US-MA","US-6876","Castle Island State Park","2025-12-29",2,2,25
"United States of America","Massachusetts","US-MA","US-8414","Middlesex Fells State Reserve","2025-06-07",2,1,19
"United States of America","New Hampshire","US-NH","US-2667","Mount Washington State Park","2025-06-09",1,0,5
"United States of America","New Hampshire","US-NH","US-8018","Fort Constitution State Historic Site","2026-06-30",1,1,11
"United States of America","New Jersey","US-NJ","US-1623","Liberty State Park","2026-06-27",1,1,11
"United States of America","New York","US-NY","US-0062","Saratoga National Historical Park","2026-07-13",1,1,13
"United States of America","North Carolina","US-NC","US-0034","Great Smoky Mountains National Park","2025-05-25",3,2,34
"United States of America","North Carolina","US-NC","US-4556","Appalachian Trail National Scenic Trail","2026-07-15",1,0,8
"United States of America","Pennsylvania","US-PA","US-0761","Valley Forge National Historical Park","2026-06-26",1,1,16
"United States of America","Rhode Island","US-RI","US-6985","Round Top Wildlife Management Area","2026-07-08",1,0,2
"United States of America","Rhode Island","US-RI","US-7714","Buck Hill Wildlife Management Area","2026-07-08",1,0,1
"United States of America","South Carolina","US-SC","US-0521","Santee National Wildlife Refuge","2026-06-24",1,1,12
"United States of America","Virginia","US-VA","US-0016","Colonial National Historical Park","2026-06-25",1,1,13
"United States of America","Virginia","US-VA","US-1299","First Landing State Park","2025-12-18",1,1,14
"United States of America","Virginia","US-VA","US-8204","Yorktown National Battlefield","2026-06-25",1,1,13
"United States of America","West Virginia","US-WV","US-0735","Harpers Ferry National Historical Park","2025-05-27",1,1,10
